año,titulo,descripcion,imagen_alt
1956,GM-NAA I/O,"Primer sistema operativo de propósito general para el IBM 704; automatizaba la ejecución de lotes de tarjetas perforadas y sentó las bases del procesamiento por lotes.","Tarjetas perforadas siendo alimentadas a un IBM 704 en la década de 1950"
1961,CTSS,"Compatible Time-Sharing System del MIT; primer sistema operativo de tiempo compartido de propósito general que permitió que varios usuarios interactuaran en línea con el mainframe y sentó la base de la computación interactiva.","Investigador tecleando en un terminal Teletype conectado a un IBM 7094 ejecutando CTSS"
1969,Multics,"MULTiplexed Information and Computing Service de MIT–GE–Bell; introdujo memoria de nivel único, enlazado dinámico y anillos de seguridad, e inspiró directamente a Unix.","Consola del GE-645 con sesión de inicio de Multics mostrando el prompt en pantalla"
1969,Unix,"Desarrollado en los Laboratorios Bell; introdujo la filosofía de herramientas pequeñas que hacen una sola cosa bien y el concepto de sistemas de archivos jerárquicos.","Terminal teletipo conectado a un minicomputador PDP-11 ejecutando Unix"
1970,CP/M,"Control Program for Microcomputers de Gary Kildall; estándar de facto en microcomputadoras de 8 bits antes del PC-DOS/MS-DOS.","Computadora IMSAI 8080 con disquetes de 8 pulgadas usados por CP/M"
1981,MS-DOS 1.0,"Sistema operativo para el IBM PC; marcó el inicio de la dominancia de Microsoft en PCs.","Primer IBM PC modelo 5150 encendido mostrando el prompt C:\>"
1984,System 1 (Macintosh),"Introdujo la interfaz gráfica de usuario comercialmente exitosa con ventanas, íconos y ratón.","Apple Macintosh original con su icónico monitor en blanco y negro y ratón de un solo botón"
1985,Windows 1.0,"Primera versión de Microsoft Windows; añadía un entorno gráfico sobre MS-DOS.","Pantalla con mosaicos de Windows 1.0 y logo antiguo de Microsoft"
1985,AmigaOS 1.0,"Sistema del Commodore Amiga 1000; llevó el multitasking preventivo y el audio-video avanzado al mercado doméstico gracias al micro-kernel Exec de solo 13 KB.","Amiga 1000 con Workbench 1.0 abierto y varias ventanas superpuestas"
1987,OS/2 1.0,"Proyecto conjunto IBM-Microsoft para suceder a DOS; incorporó multitarea cooperativa y una interfaz gráfica llamada Presentation Manager.","IBM PS/2 corriendo OS/2 con Presentation Manager abierta"
1989,NeXTSTEP 1.0,"Sistema orientado a objetos sobre Mach/BSD; estrenó el Dock y los Servicios, albergó la creación del primer navegador web y se convirtió en la base de macOS, iOS y derivados.","Cubo NeXT con monitor gris exhibiendo la interfaz negra de NeXTSTEP"
1991,Linux 0.01,"Linus Torvalds publica el kernel Linux; da origen al ecosistema de software libre tipo Unix.","Linus Torvalds en 1991 sentado frente a una PC 386 mostrando código fuente en pantalla"
1993,Windows NT 3.1,"Primer Windows de 32 bits independiente de DOS; arquitectura híbrida y modelo de seguridad empresarial.","Pantalla de bienvenida de Windows NT 3.1 con logo multicolor"
1995,Windows 95,"Popularizó la barra de tareas, menú Inicio y soporte plug-and-play; vendido en masa con una campaña mediática sin precedentes.","Caja minorista de Windows 95 apilada en tiendas con el logotipo ondeante"
1996,Palm OS 1.0,"Sistema operativo móvil orientado a agendas digitales; famoso por la sincronización HotSync.","Palm Pilot original con su lápiz óptico mostrando la aplicación de calendario"
1999,Mac OS 9,"Última versión ‘clásica’ antes de Mac OS X; introdujo Sherlock 2 y mejoró la multitarea.","iMac G3 de colores translúcidos ejecutando Mac OS 9"
2001,Mac OS X 10.0 Cheetah,"Fusionó interfaz Aqua con kernel Unix (Darwin); renovó por completo el ecosistema de Apple.","Captura de pantalla de la interfaz Aqua con botón gelatinoso de cierre de ventana"
2001,Windows XP,"Combinó las líneas NT y consumer; larguísimo ciclo de vida y elevado uso mundial.","Escritorio default ‘Bliss’ con colinas verdes bajo cielo azul en Windows XP"
2007,iPhone OS 1,"Primer sistema operativo del iPhone; llevó la interfaz multitáctil a millones de usuarios.","iPhone original mostrando la pantalla de inicio con íconos redondeados"
2008,Android 1.0,"Lanzado con el HTC Dream; sistema abierto basado en Linux con Android Market (hoy Play Store).","HTC Dream deslizándose para revelar el teclado ejecutando Android 1.0"
2011,Chrome OS (Primeras Chromebooks),"Google lanza las Samsung Series 5 y Acer AC700; primer SO de consumo diseñado para vivir en la nube con actualizaciones automáticas y almacenamiento casi todo en línea.","Chromebook Series 5 abierta mostrando el escritorio basado en el navegador Chrome"
2012,Windows 8,"Introdujo interfaz ‘Metro’ centrada en pantallas táctiles y la Windows Store.","Tableta Surface con mosaicos vivos de Windows 8 en pantalla de inicio"
2014,Android 5.0 Lollipop,"Adoptó Material Design y ART Runtime; mejoró rendimiento y estética en todo el ecosistema.","Teléfono Nexus 6 mostrando la animación circular de inicio de Lollipop"
2015,Windows 10,"Modelo ‘Windows as a Service’; Cortana integrada y regreso del menú Inicio clásico con mosaicos.","Portátil mostrando escritorio de Windows 10 con menú Inicio abierto"
